fold,draw,kind,subtype,test_n,ibs_pooled,ibs_independent,pooled_minus_independent
1,9,flipped,del1p,64,0.1120198826675912,0.11555320628775882,-0.0035333236201676166
1,9,flipped,del13q,101,0.1405400691079379,0.1345753356290991,0.005964733478838802
1,9,flipped,del17p,33,0.1410884790062415,0.14173782111966154,-0.0006493421134200483
1,9,flipped,hyperdiploid,117,0.1452428893521005,0.15718694652103385,-0.011944057168933347
1,10,flipped,amp1q,82,0.1958053421462027,0.20283336319383574,-0.007028021047633032
1,10,flipped,del1p,69,0.1377100356436444,0.16170982894951136,-0.023999793305866962
1,10,flipped,del13q,99,0.12322375927452814,0.12158937116771286,0.0016343881068152794
1,10,flipped,del17p,34,0.1797030415074821,0.17201599624621336,0.007687045261268732
1,10,flipped,hyperdiploid,122,0.12933854076760046,0.13493477226854184,-0.005596231500941379
1,11,flipped,amp1q,79,0.15836148688368543,0.15785592340800172,0.0005055634756837013
1,11,flipped,del1p,63,0.13654132057670723,0.15071555129464073,-0.0141742307179335
1,11,flipped,del13q,91,0.16014797725161511,0.1775611965838673,-0.017413219332252178
1,11,flipped,del17p,34,0.18667416123013067,0.23315993636253896,-0.046485775132408286
1,11,flipped,hyperdiploid,111,0.14053160067623616,0.14692634068514734,-0.006394740008911187
1,12,flipped,amp1q,74,0.1672066418288292,0.15664255736422628,0.010564084464602913
1,12,flipped,del1p,69,0.17099139442035563,0.18358655971816415,-0.01259516529780852
1,12,flipped,del13q,95,0.15168367675435102,0.1610921981205284,-0.009408521366177397
1,12,flipped,del17p,38,0.15572341842409176,0.210034377107412,-0.054310958683320226
1,12,flipped,hyperdiploid,114,0.14103943131971963,0.14684965016821286,-0.005810218848493226
1,13,flipped,amp1q,68,0.18071338538422885,0.1763664405381509,0.004346944846077949
1,13,flipped,del1p,64,0.10028192462661845,0.1087412280942663,-0.008459303467647852
1,13,flipped,del13q,97,0.1484436969913591,0.15678181739388147,-0.008338120402522381
1,13,flipped,del17p,25,0.19607671487390532,0.19742199821587136,-0.0013452833419660415
1,13,flipped,hyperdiploid,110,0.14485369023219266,0.15159962035635682,-0.006745930124164162
1,14,flipped,amp1q,83,0.1406490026881719,0.1424561434756827,-0.0018071407875107914
1,14,flipped,del1p,66,0.10150082506772304,0.10409436880550085,-0.0025935437377778148
1,14,flipped,del13q,88,0.14063677537404462,0.14652146827879922,-0.0058846929047546015
1,14,flipped,del17p,33,0.15862867637655478,0.19353242440917304,-0.034903748032618254
1,14,flipped,hyperdiploid,123,0.14578425596093791,0.1519215051993031,-0.006137249238365172
1,15,flipped,amp1q,82,0.18543108849049472,0.18305531858185511,0.002375769908639608
1,15,flipped,del1p,62,0.11536067823278913,0.12374184279287703,-0.008381164560087903
1,15,flipped,del13q,95,0.16927036222612835,0.17759782317694017,-0.008327460950811827
1,15,flipped,del17p,42,0.15652327189917478,0.2349881527948598,-0.07846488089568501
1,15,flipped,hyperdiploid,125,0.1556533766118096,0.16235534695344989,-0.006701970341640273
2,0,real,amp1q,68,0.10517533051038588,0.10302632572874512,0.002149004781640762
2,0,real,del1p,27,0.17776880718340982,0.16867613751784705,0.00909266966556277
2,0,real,del13q,92,0.12183582288771505,0.1268515897826633,-0.005015766894948259
2,0,real,del17p,33,0.16994801725626477,0.2107661618068389,-0.04081814455057414
2,0,real,hyperdiploid,116,0.10532603933075063,0.10569915390387193,-0.00037311457312129426
2,1,flipped,amp1q,87,0.11534421720706368,0.12205118338457009,-0.006706966177506407
2,1,flipped,del1p,56,0.10221000566057212,0.11546058050365572,-0.013250574843083604
2,1,flipped,del13q,88,0.11079430710630297,0.11677302282413266,-0.00597871571782968
2,1,flipped,del17p,49,0.14844908409251523,0.172066389703652,-0.023617305611136785
2,1,flipped,hyperdiploid,115,0.11253277416836913,0.11526310777786768,-0.0027303336094985503
2,2,flipped,amp1q,81,0.11810502587612855,0.11408693804803405,0.004018087828094499
2,2,flipped,del1p,66,0.11231471710785054,0.12502355257786754,-0.012708835470017
2,2,flipped,del13q,102,0.11483984500523324,0.11791505382749412,-0.0030752088222608803
2,2,flipped,del17p,48,0.13746122552482448,0.14457312906609052,-0.007111903541266035
2,2,flipped,hyperdiploid,110,0.10788282913182369,0.10681645356004224,0.00106637557178145
2,3,flipped,amp1q,82,0.10582000414013443,0.10542457820811435,0.00039542593202007703
2,3,flipped,del1p,65,0.09880648575014361,0.10059987026100216,-0.001793384510858545
2,3,flipped,del13q,90,0.1047828386298695,0.10940805116018446,-0.004625212530314948
2,3,flipped,del17p,46,0.14250848369739888,0.13046425723687954,0.012044226460519336
2,3,flipped,hyperdiploid,107,0.08376475850402487,0.08435459700600655,-0.0005898385019816738
2,4,flipped,amp1q,77,0.11015864958689932,0.11041962895631906,-0.0002609793694197393
2,4,flipped,del1p,69,0.1389074461352693,0.13830119583940886,0.0006062502958604499
2,4,flipped,del13q,84,0.11720413277420758,0.12292195565782876,-0.0057178228836211875
2,4,flipped,del17p,42,0.12288352095998341,0.12265838348730208,0.0002251374726813249
2,4,flipped,hyperdiploid,115,0.1039467099405504,0.10759305903152282,-0.0036463490909724172
2,5,flipped,amp1q,81,0.10097895629965792,0.09930325314097883,0.0016757031586790844
2,5,flipped,del1p,50,0.13662147006532852,0.1470948792837874,-0.010473409218458879
2,5,flipped,del13q,95,0.0925859369685144,0.09200825517302627,0.0005776817954881303
2,5,flipped,del17p,48,0.12582132309255686,0.11769214618658275,0.008129176905974117
2,5,flipped,hyperdiploid,104,0.09985374677713006,0.1008794457466617,-0.001025698969531641
2,6,flipped,amp1q,78,0.09929384050272222,0.10684229764545816,-0.007548457142735943
2,6,flipped,del1p,66,0.14684382626856762,0.1630191015691908,-0.016175275300623182
2,6,flipped,del13q,91,0.11170129375484317,0.11315266989389436,-0.0014513761390511914
2,6,flipped,del17p,39,0.16946981330245076,0.15882807429215984,0.010641739010290918
2,6,flipped,hyperdiploid,105,0.11627443810134641,0.11404337619795295,0.0022310619033934637
2,7,flipped,amp1q,69,0.08651956786513995,0.08432327824752102,0.0021962896176189323
2,7,flipped,del1p,66,0.09309655064296483,0.08718612039040878,0.005910430252556054
2,7,flipped,del13q,102,0.08842087127726489,0.09164041093834734,-0.003219539661082446
2,7,flipped,del17p,40,0.16177954408576375,0.1857566914633307,-0.023977147377566954
2,7,flipped,hyperdiploid,113,0.10004587448702923,0.10077827979680734,-0.0007324053097781114
2,8,flipped,amp1q,93,0.10454940294485587,0.1039622304403435,0.0005871725045123732
2,8,flipped,del1p,69,0.09277120353626432,0.11303650468302029,-0.020265301146755968
2,8,flipped,del13q,89,0.13880554889400004,0.1471166093738443,-0.008311060479844257
2,8,flipped,del17p,46,0.18310731911427508,0.17935992767303394,0.0037473914412411435
2,8,flipped,hyperdiploid,104,0.09960017893912597,0.10388568408900545,-0.004285505149879479
2,9,flipped,amp1q,72,0.11092611910650976,0.10978711662601184,0.0011390024804979193
2,9,flipped,del1p,64,0.11428040015357405,0.11952708582221507,-0.0052466856686410185
2,9,flipped,del13q,93,0.13111579524834585,0.13084913898268752,0.00026665626565833267
2,9,flipped,del17p,46,0.17348898446869873,0.19031339888174922,-0.016824414413050492
2,9,flipped,hyperdiploid,109,0.11905589097772959,0.11869194041523345,0.0003639505624961348
2,10,flipped,amp1q,83,0.12012283192744225,0.11566729980692105,0.004455532120521202
2,10,flipped,del1p,69,0.09907578601118543,0.09833027526083599,0.0007455107503494401
2,10,flipped,del13q,77,0.10735456630325665,0.10880999539531881,-0.0014554290920621576
2,10,flipped,del17p,44,0.14999260082617893,0.16169863806431764,-0.011706037238138706
2,10,flipped,hyperdiploid,112,0.10325090313251764,0.10166359766556407,0.0015873054669535702
2,11,flipped,amp1q,85,0.10618618644153555,0.11262179783052079,-0.006435611388985241
2,11,flipped,del1p,56,0.10060697237831914,0.10870673751034074,-0.008099765132021597
2,11,flipped,del13q,87,0.10334045582427032,0.10908917776173464,-0.005748721937464327
2,11,flipped,del17p,46,0.16961147119831246,0.19659188822503554,-0.026980417026723075
2,11,flipped,hyperdiploid,123,0.09806478917349211,0.09837201500782967,-0.00030722583433756556
2,12,flipped,amp1q,80,0.11469527285603844,0.11585499774483245,-0.0011597248887940115
