patient_id	file_id	file_name	sample_id
MMRF_1223	328e0f32-298d-4c0f-a544-7b042156af1c	7f8bc468-dfd8-4bd7-8207-bfc7434fe391.rna_seq.augmented_star_gene_counts.tsv	MMRF_1223_2_BM_CD138pos
MMRF_1224	a0b26de2-7c81-4d7b-837f-b24cff447f06	2052e5d2-2b59-4d4f-b5c5-b670a1b95d20.rna_seq.augmented_star_gene_counts.tsv	MMRF_1224_1_BM_CD138pos
MMRF_1229	21153410-e33f-4837-993c-9fa40b473e25	a6f585b6-485f-48f1-8226-b4372ed19fbf.rna_seq.augmented_star_gene_counts.tsv	MMRF_1229_1_BM_CD138pos
MMRF_1231	4e62dca5-834e-4f8f-85da-52ec760af2f8	40a2eefa-88b5-46bb-a20f-4b6330c8e57f.rna_seq.augmented_star_gene_counts.tsv	MMRF_1231_1_BM_CD138pos
MMRF_1232	529598d4-62d2-4a3e-a939-48ae24244fa0	6baf9f56-1496-4f5a-a1cc-b7d67e1593c2.rna_seq.augmented_star_gene_counts.tsv	MMRF_1232_4_BM_CD138pos
MMRF_1235	d295b4d4-a781-422a-97c5-2669d8d0c609	0e2c6718-1b1a-44e6-8300-074529773cae.rna_seq.augmented_star_gene_counts.tsv	MMRF_1235_1_BM_CD138pos
MMRF_1242	9b373813-d361-4382-97a5-0aaced221e4d	39b7b66c-1107-44df-8467-8f7e6ef2ca27.rna_seq.augmented_star_gene_counts.tsv	MMRF_1242_1_BM_CD138pos
MMRF_1244	bb75e9fe-bdd2-4fb4-923c-ae33986d9be4	f650d97b-2ff9-49cd-b47d-d278632ce034.rna_seq.augmented_star_gene_counts.tsv	MMRF_1244_1_BM_CD138pos
MMRF_1250	8a1b6ed5-5368-4e84-a4e9-4324694b26a7	8350526f-f5dd-47c5-b72e-d645af1d0d03.rna_seq.augmented_star_gene_counts.tsv	MMRF_1250_1_BM_CD138pos
MMRF_1251	6c9dc516-d7d7-416f-9867-63ac4f6912ba	bbde78a2-1feb-4e4d-93ff-d279dd59dfed.rna_seq.augmented_star_gene_counts.tsv	MMRF_1251_1_BM_CD138pos
MMRF_1252	1ec95454-4961-4a4c-987f-387d93fcb40f	bf4e527e-ff53-455b-80c7-7b3502cb1369.rna_seq.augmented_star_gene_counts.tsv	MMRF_1252_1_BM_CD138pos
MMRF_1256	d3b0d972-b5da-4d85-81dd-cdbe5a54014d	fadef38b-6384-4e0f-9fc7-1d696016e75d.rna_seq.augmented_star_gene_counts.tsv	MMRF_1256_2_BM_CD138pos
